"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Nerežišæa",878,78.80,11,229,1445,11188,164.6,1274.3,18.3,142.0,26.1,2.9,7.7,48.9,878,78.80,11,227,1408,11631,160.4,1324.7,17.9,147.6,25.9,2.9,8.3,51.2,878,78.80,11,262,1496,11793,170.4,1343.2,19.0,149.7,29.8,3.3,7.9,45.0,878,78.80,11,256,1514,11241,172.4,1280.3,19.2,142.7,29.2,3.2,7.4,43.9
"Okrug",2995,9.76,306,9673,73214,531970,2444.5,17761.9,7501.4,54505.1,323.0,991.1,7.3,55.0,2995,9.76,306,9956,89072,628074,2974.0,20970.8,9126.2,64351.8,332.4,1020.1,7.1,63.1,2995,9.76,306,10327,94902,640033,3168.7,21370.1,9723.6,65577.2,344.8,1058.1,6.7,62.0,2995,9.76,306,10577,99378,656775,3318.1,21929.0,10182.2,67292.5,353.2,1083.7,6.6,62.1
"Omiš",14139,266.17,53,14600,125947,841703,890.8,5953.1,473.2,3162.3,103.3,54.9,6.7,57.7,14139,266.17,53,14990,158003,993074,1117.5,7023.7,593.6,3731.0,106.0,56.3,6.3,66.2,14139,266.17,53,15612,165086,1002813,1167.6,7092.5,620.2,3767.6,110.4,58.7,6.1,64.2,14139,266.17,53,15944,175032,1049693,1237.9,7424.1,657.6,3943.7,112.8,59.9,6.0,65.8
"Otok",4998,94.69,52,46,274,2180,5.5,43.6,2.9,23.0,0.9,0.5,8.0,47.4,4998,94.69,52,63,z,z,z,z,z,z,1.3,0.7,z,z,4998,94.69,52,55,z,z,z,z,z,z,1.1,0.6,z,z,4998,94.69,52,51,z,z,z,z,z,z,1.0,0.5,z,z
"Podbablje",4035,44.79,90,397,2246,20356,55.7,504.5,50.1,454.5,9.8,8.9,9.1,51.3,4035,44.79,90,476,z,z,z,z,z,z,11.8,10.6,z,z,4035,44.79,90,569,3560,32629,88.2,808.6,79.5,728.5,14.1,12.7,9.2,57.3,4035,44.79,90,688,z,z,z,z,z,z,17.1,15.4,z,z
"Podgora",2233,76.18,29,11382,104487,755646,4679.2,33839.9,1371.6,9919.2,509.7,149.4,7.2,66.4,2233,76.18,29,11407,133392,927789,5973.7,41549.0,1751.0,12178.9,510.8,149.7,7.0,81.3,2233,76.18,29,11437,145462,962539,6514.2,43105.2,1909.5,12635.1,512.2,150.1,6.6,84.2,2233,76.18,29,11443,146640,965883,6567.0,43254.9,1924.9,12679.0,512.4,150.2,6.6,84.4
"Podstrana",10403,11.66,891,7687,78004,466235,749.8,4481.7,6689.9,39985.8,73.9,659.3,6.0,60.7,10403,11.66,891,8023,110159,599484,1058.9,5762.6,9447.6,51413.7,77.1,688.1,5.4,74.7,10403,11.66,891,8329,120532,602699,1158.6,5793.5,10337.2,51689.5,80.1,714.3,5.0,72.4,10403,11.66,891,8468,129321,611311,1243.1,5876.3,11091.0,52428.0,81.4,726.2,4.7,72.2
"Postira",1538,46.89,32,1828,13332,105936,866.8,6887.9,284.3,2259.2,118.9,39.0,7.9,58.0,1538,46.89,32,2312,23045,159464,1498.4,10368.3,491.5,3400.8,150.3,49.3,6.9,69.0,1538,46.89,32,2295,28909,187938,1879.6,12219.6,616.5,4008.1,149.2,48.9,6.5,81.9,1538,46.89,32,2270,28859,187863,1876.4,12214.8,615.5,4006.5,147.6,48.4,6.5,82.8
"Prgomet",498,77.40,6,53,z,z,z,z,z,z,10.6,0.7,z,z,498,77.40,6,55,428,3035,85.9,609.4,5.5,39.2,11.0,0.7,7.1,55.2,498,77.40,6,63,z,z,z,z,z,z,12.7,0.8,z,z,498,77.40,6,68,316,2607,63.5,523.5,4.1,33.7,13.7,0.9,8.3,38.3
"Primorski Dolac",686,32.43,21,58,341,2694,49.7,392.7,10.5,83.1,8.5,1.8,7.9,46.4,686,32.43,21,55,z,z,z,z,z,z,8.0,1.7,z,z,686,32.43,21,69,403,3442,58.7,501.7,12.4,106.1,10.1,2.1,8.5,49.9,686,32.43,21,77,z,z,z,z,z,z,11.2,2.4,z,z
"Proložac",3112,54.70,56,334,z,z,z,z,z,z,10.7,6.1,z,z,3112,54.70,56,382,2222,20167,71.4,648.0,40.6,368.7,12.3,7.0,9.1,52.8,3112,54.70,56,366,2246,20672,72.2,664.3,41.1,377.9,11.8,6.7,9.2,56.5,3112,54.70,56,418,2278,21199,73.2,681.2,41.6,387.6,13.4,7.6,9.3,50.7
"Puèišæa",1926,106.17,18,700,5260,31484,273.1,1634.7,49.5,296.5,36.3,6.6,6.0,45.0,1926,106.17,18,704,5832,35020,302.8,1818.3,54.9,329.8,36.6,6.6,6.0,49.7,1926,106.17,18,728,6140,35574,318.8,1847.0,57.8,335.1,37.8,6.9,5.8,48.9,1926,106.17,18,753,6349,37270,329.6,1935.1,59.8,351.0,39.1,7.1,5.9,49.5
"Runoviæi",1968,59.29,33,105,508,4863,25.8,247.1,8.6,82.0,5.3,1.8,9.6,46.3,1968,59.29,33,129,566,5115,28.8,259.9,9.5,86.3,6.6,2.2,9.0,39.7,1968,59.29,33,125,572,5392,29.1,274.0,9.6,90.9,6.4,2.1,9.4,43.1,1968,59.29,33,155,919,7680,46.7,390.2,15.5,129.5,7.9,2.6,8.4,49.5
"Seget",4511,78.51,57,7971,97892,586882,2170.1,13010.0,1246.9,7475.3,176.7,101.5,6.0,73.6,4511,78.51,57,8258,130897,743726,2901.7,16486.9,1667.3,9473.0,183.1,105.2,5.7,90.1,4511,78.51,57,8250,137111,759673,3039.5,16840.5,1746.4,9676.1,182.9,105.1,5.5,92.1,4511,78.51,57,8383,142621,785436,3161.6,17411.6,1816.6,10004.3,185.8,106.8,5.5,93.7
"Selca",1613,53.78,29,1848,11195,93662,694.0,5806.7,208.2,1741.6,114.6,34.4,8.4,50.7,1613,53.78,29,1865,11802,98750,731.7,6122.1,219.4,1836.2,115.6,34.7,8.4,52.9,1613,53.78,29,1926,12773,101632,791.9,6300.8,237.5,1889.8,119.4,35.8,8.0,52.8,1613,53.78,29,1945,12632,98994,783.1,6137.3,234.9,1840.7,120.6,36.2,7.8,50.9
"Sinj",23452,193.35,121,324,6874,18217,29.3,77.7,35.6,94.2,1.4,1.7,2.7,56.2,23452,193.35,121,372,10582,24710,45.1,105.4,54.7,127.8,1.6,1.9,2.3,66.4,23452,193.35,121,426,13766,30964,58.7,132.0,71.2,160.1,1.8,2.2,2.2,72.7,23452,193.35,121,494,15860,34402,67.6,146.7,82.0,177.9,2.1,2.6,2.2,69.6
"Solin",24862,34.29,724,993,16700,65726,67.2,264.4,487.0,1916.8,4.0,29.0,3.9,66.2,24862,34.29,724,1111,26272,95937,105.7,385.9,766.2,2797.8,4.5,32.4,3.7,86.4,24862,34.29,724,1274,33658,108044,135.4,434.6,981.6,3150.9,5.1,37.2,3.2,84.8,24862,34.29,724,1332,36035,110346,144.9,443.8,1050.9,3218.0,5.4,38.8,3.1,82.8
"Split",160577,79.30,2024,27523,478040,1715549,297.7,1068.4,6028.2,21633.7,17.1,347.1,3.6,62.3,160577,79.30,2024,30258,786592,2620705,489.9,1632.1,9919.2,33048.0,18.8,381.6,3.3,86.6,160577,79.30,2024,32885,949385,2908550,591.2,1811.3,11972.1,36677.8,20.5,414.7,3.1,88.4,160577,79.30,2024,34082,1032208,3070825,642.8,1912.4,13016.5,38724.1,21.2,429.8,3.0,90.1
"Stari Grad",2772,52.84,52,3208,28889,177794,1042.2,6413.9,546.7,3364.8,115.7,60.7,6.2,55.4,2772,52.84,52,3199,36231,201822,1307.0,7280.7,685.7,3819.5,115.4,60.5,5.6,63.1,2772,52.84,52,3202,41293,213305,1489.6,7695.0,781.5,4036.8,115.5,60.6,5.2,66.6,2772,52.84,52,3381,42184,216996,1521.8,7828.1,798.3,4106.7,122.0,64.0,5.1,64.2
"Suæuraj",426,45.15,9,1179,8077,65625,1896.0,15404.9,178.9,1453.5,276.8,26.1,8.1,55.7,426,45.15,9,1175,8100,67112,1901.4,15754.0,179.4,1486.4,275.8,26.0,8.3,57.1,426,45.15,9,1116,7905,62293,1855.6,14622.8,175.1,1379.7,262.0,24.7,7.9,55.8,426,45.15,9,1050,7537,59942,1769.2,14070.9,166.9,1327.6,246.5,23.3,8.0,57.1
"Supetar",4325,29.82,145,5756,62321,422563,1440.9,9770.2,2089.9,14170.5,133.1,193.0,6.8,73.4,4325,29.82,145,5965,80249,535891,1855.5,12390.5,2691.1,17970.9,137.9,200.0,6.7,89.8,4325,29.82,145,6132,82637,550222,1910.7,12721.9,2771.2,18451.4,141.8,205.6,6.7,89.7,4325,29.82,145,6046,87392,567477,2020.6,13120.9,2930.7,19030.1,139.8,202.7,6.5,93.9
"Sutivan",936,21.84,42,1796,12642,98174,1350.6,10488.7,578.8,4495.1,191.9,82.2,7.8,54.7,936,21.84,42,1837,13741,107584,1468.1,11494.0,629.2,4926.0,196.3,84.1,7.8,58.6,936,21.84,42,1930,14928,110102,1594.9,11763.0,683.5,5041.3,206.2,88.4,7.4,57.0,936,21.84,42,1975,14923,110879,1594.3,11846.0,683.3,5076.9,211.0,90.4,7.4,56.1
"Šestanovac",1669,89.77,18,224,1496,13339,89.6,799.2,16.7,148.6,13.4,2.5,8.9,59.5,1669,89.77,18,228,1760,14427,105.5,864.4,19.6,160.7,13.7,2.5,8.2,63.3,1669,89.77,18,264,1786,15039,107.0,901.1,19.9,167.5,15.8,2.9,8.4,57.0,1669,89.77,18,272,1736,15014,104.0,899.6,19.3,167.2,16.3,3.0,8.6,55.2
"Šolta",1975,59.23,33,2428,13976,122715,707.6,6213.4,236.0,2071.8,122.9,41.0,8.8,50.5,1975,59.23,33,2475,15336,127567,776.5,6459.1,258.9,2153.8,125.3,41.8,8.3,51.5,1975,59.23,33,2554,15450,124884,782.3,6323.2,260.8,2108.5,129.3,43.1,8.1,48.9,1975,59.23,33,2542,15565,123286,788.1,6242.3,262.8,2081.5,128.7,42.9,7.9,48.5
"Trilj",8182,267.98,30,445,2109,14266,25.8,174.4,7.9,53.2,5.4,1.7,6.8,32.1,8182,267.98,30,411,2694,17479,32.9,213.6,10.1,65.2,5.0,1.5,6.5,42.5,8182,267.98,30,442,3754,19249,45.9,235.3,14.0,71.8,5.4,1.6,5.1,43.5,8182,267.98,30,473,4218,20998,51.6,256.6,15.7,78.4,5.8,1.8,5.0,44.4
"Trogir",12393,39.27,315,8081,89701,437940,723.8,3533.8,2284.2,11152.0,65.2,205.8,4.9,54.2,12393,39.27,315,8503,127169,562694,1026.1,4540.4,3238.3,14328.9,68.6,216.5,4.4,66.2,12393,39.27,315,8825,145564,592995,1174.6,4784.9,3706.7,15100.5,71.2,224.7,4.1,67.2,12393,39.27,315,9124,150728,610842,1216.2,4928.9,3838.2,15554.9,73.6,232.3,4.1,66.9
"Tuèepi",1819,22.48,80,7816,98192,644396,5398.1,35425.8,4368.0,28665.3,429.7,347.7,6.6,82.4,1819,22.48,80,7870,124605,771571,6850.2,42417.3,5542.9,34322.6,432.7,350.1,6.2,98.0,1819,22.48,80,7820,145769,807155,8013.7,44373.6,6484.4,35905.5,429.9,347.9,5.5,103.2,1819,22.48,80,7959,153637,831339,8446.2,45703.1,6834.4,36981.3,437.5,354.0,5.4,104.5
"Vis",1918,52.79,36,2734,25041,150106,1305.6,7826.2,474.4,2843.5,142.5,51.8,6.0,54.9,1918,52.79,36,2741,27674,160945,1442.9,8391.3,524.2,3048.8,142.9,51.9,5.8,58.7,1918,52.79,36,2735,27550,155927,1436.4,8129.7,521.9,2953.7,142.6,51.8,5.7,57.0,1918,52.79,36,2677,27518,156421,1434.7,8155.4,521.3,2963.1,139.6,50.7,5.7,58.4
"Vrgorac",5698,278.64,20,181,1515,7695,26.6,135.0,5.4,27.6,3.2,0.6,5.1,42.5,5698,278.64,20,216,2060,11706,36.2,205.4,7.4,42.0,3.8,0.8,5.7,54.2,5698,278.64,20,257,2554,12738,44.8,223.6,9.2,45.7,4.5,0.9,5.0,49.6,5698,278.64,20,396,3210,14925,56.3,261.9,11.5,53.6,6.9,1.4,4.6,37.7
"Vrlika",1728,243.50,7,60,450,1541,26.0,89.2,1.8,6.3,3.5,0.2,3.4,25.7,1728,243.50,7,188,1014,2289,58.7,132.5,4.2,9.4,10.9,0.8,2.3,12.2,1728,243.50,7,215,1343,3004,77.7,173.8,5.5,12.3,12.4,0.9,2.2,14.0,1728,243.50,7,195,1138,2768,65.9,160.2,4.7,11.4,11.3,0.8,2.4,14.2
"Zadvarje",289,13.04,22,353,402,3289,139.1,1138.1,30.8,252.2,122.1,27.1,8.2,9.3,289,13.04,22,82,582,4468,201.4,1546.0,44.6,342.6,28.4,6.3,7.7,54.5,289,13.04,22,86,488,4244,168.9,1468.5,37.4,325.5,29.8,6.6,8.7,49.3,289,13.04,22,90,601,4722,208.0,1633.9,46.1,362.1,31.1,6.9,7.9,52.5
"Zagvozd",957,138.80,6,281,z,z,z,z,z,z,29.4,2.0,z,z,957,138.80,6,338,2685,17850,280.6,1865.2,19.3,128.6,35.3,2.4,6.6,52.8,957,138.80,6,387,2693,17344,281.4,1812.3,19.4,125.0,40.4,2.8,6.4,44.8,957,138.80,6,359,2276,15826,237.8,1653.7,16.4,114.0,37.5,2.6,7.0,44.1
"Zmijavci",1654,13.76,120,162,z,z,z,z,z,z,9.8,11.8,z,z,1654,13.76,120,206,1258,11089,76.1,670.4,91.4,805.9,12.5,15.0,8.8,53.8,1654,13.76,120,247,1674,14528,101.2,878.4,121.7,1055.8,14.9,18.0,8.7,58.8,1654,13.76,120,271,1753,14334,106.0,866.6,127.4,1041.7,16.4,19.7,8.2,52.9
"County of Istria",195237,2814.44,69,291130,3372081,21734119,1727.2,11132.2,1198.1,7722.4,149.1,103.4,6.4,74.7,195237,2814.44,69,297747,4583914,27690426,2347.9,14183.0,1628.7,9838.7,152.5,105.8,6.0,93.0,195237,2814.44,69,303963,4832877,28121131,2475.4,14403.6,1717.2,9991.7,155.7,108.0,5.8,92.5,195237,2814.44,69,307487,4873947,27907047,2496.4,14293.9,1731.8,9915.7,157.5,109.3,5.7,90.8
"Bale - Valle",1170,82.12,14,3598,49906,319693,4265.5,27324.2,607.7,3893.0,307.5,43.8,6.4,88.9,1170,82.12,14,3686,60654,374955,5184.1,32047.4,738.6,4565.9,315.0,44.9,6.2,101.7,1170,82.12,14,3715,66983,402786,5725.0,34426.2,815.7,4904.8,317.5,45.2,6.0,108.4,1170,82.12,14,3783,70808,415381,6052.0,35502.6,862.3,5058.2,323.3,46.1,5.9,109.8
"Barban",2491,90.50,27,1511,12807,99501,514.1,3994.4,141.5,1099.5,60.7,16.7,7.8,65.9,2491,90.50,27,1579,15104,122859,606.3,4932.1,166.9,1357.6,63.4,17.4,8.1,77.8,2491,90.50,27,1569,15151,119512,608.2,4797.8,167.4,1320.6,63.0,17.3,7.9,76.2,2491,90.50,27,1602,15181,119269,609.4,4788.0,167.7,1317.9,64.3,17.7,7.9,74.5
"Brtonigla - Verteneglio",1523,32.92,46,5685,67545,507976,4435.0,33353.6,2051.8,15430.6,373.3,172.7,7.5,89.4,1523,32.92,46,5764,90547,665867,5945.3,43720.7,2750.5,20226.8,378.5,175.1,7.4,115.5,1523,32.92,46,5890,96930,696981,6364.4,45763.7,2944.4,21172.0,386.7,178.9,7.2,118.3,1523,32.92,46,5971,100257,708506,6582.9,46520.4,3045.5,21522.1,392.1,181.4,7.1,118.7
"Buje - Buie",4441,99.24,44,2829,34608,168125,779.3,3785.7,348.7,1694.1,63.7,28.5,4.9,59.4,4441,99.24,44,2904,52366,241576,1179.1,5439.7,527.7,2434.3,65.4,29.3,4.6,83.2,4441,99.24,44,3016,55591,248910,1251.8,5604.8,560.2,2508.2,67.9,30.4,4.5,82.5,4441,99.24,44,3036,56376,253239,1269.4,5702.3,568.1,2551.8,68.4,30.6,4.5,83.4
"Buzet",5999,169.04,35,855,13932,51360,232.2,856.1,82.4,303.8,14.3,5.1,3.7,60.1,5999,169.04,35,898,17205,63758,286.8,1062.8,101.8,377.2,15.0,5.3,3.7,71.0,5999,169.04,35,947,16442,60249,274.1,1004.3,97.3,356.4,15.8,5.6,3.7,63.6,5999,169.04,35,1089,16368,58629,272.8,977.3,96.8,346.8,18.2,6.4,3.6,53.8
"Cerovlje",1453,105.64,13,161,2290,12621,157.6,868.6,21.7,119.5,11.1,1.5,5.5,78.4,1453,105.64,13,176,2355,12385,162.1,852.4,22.3,117.2,12.1,1.7,5.3,70.4,1453,105.64,13,177,2748,13062,189.1,899.0,26.0,123.6,12.2,1.7,4.8,73.8,1453,105.64,13,189,2613,12975,179.8,893.0,24.7,122.8,13.0,1.8,5.0,68.7
"Fažana - Fasana",3463,13.64,253,12041,108976,825926,3146.9,23850.0,7989.4,60551.8,347.7,882.8,7.6,68.6,3463,13.64,253,12134,144593,1074292,4175.4,31022.0,10600.7,78760.4,350.4,889.6,7.4,88.5,3463,13.64,253,12251,154761,1111164,4469.0,32086.7,11346.1,81463.6,353.8,898.2,7.2,90.7,3463,13.64,253,12357,157370,1097627,4544.3,31695.8,11537.4,80471.2,356.8,905.9,7.0,88.8
"Funtana - Fontane",911,7.96,114,18458,214728,1594703,23570.6,175049.7,26975.9,200339.6,2026.1,2318.8,7.4,86.4,911,7.96,114,18529,288337,1975583,31650.6,216858.7,36223.2,248188.8,2033.9,2327.8,6.9,106.6,911,7.96,114,18673,309502,2060472,33973.9,226176.9,38882.2,258853.3,2049.7,2345.9,6.7,110.3,911,7.96,114,19000,321417,2098664,35281.8,230369.3,40379.0,263651.3,2085.6,2386.9,6.5,110.5
"Graèišæe",1312,60.06,21,186,1812,13533,138.1,1031.5,30.2,225.3,14.2,3.1,7.5,72.8,1312,60.06,21,211,2286,17934,174.2,1366.9,38.1,298.6,16.1,3.5,7.8,85.0,1312,60.06,21,222,2228,17273,169.8,1316.5,37.1,287.6,16.9,3.7,7.8,77.8,1312,60.06,21,253,2285,17059,174.2,1300.2,38.0,284.0,19.3,4.2,7.5,67.4
"Grožnjan - Grisignana",656,67.06,9,454,5391,22491,821.8,3428.5,80.4,335.4,69.2,6.8,4.2,49.5,656,67.06,9,480,6491,25773,989.5,3928.8,96.8,384.3,73.2,7.2,4.0,53.7,656,67.06,9,532,7685,27959,1171.5,4262.0,114.6,416.9,81.1,7.9,3.6,52.6,656,67.06,9,559,7638,28723,1164.3,4378.5,113.9,428.3,85.2,8.3,3.8,51.4
"Kanfanar",1498,59.89,25,1010,7453,59846,497.5,3995.1,124.4,999.3,67.4,16.9,8.0,59.3,1498,59.89,25,1041,8794,69425,587.0,4634.5,146.8,1159.2,69.5,17.4,7.9,66.7,1498,59.89,25,1150,9279,71547,619.4,4776.2,154.9,1194.6,76.8,19.2,7.7,62.2,1498,59.89,25,1171,9715,70886,648.5,4732.0,162.2,1183.6,78.2,19.6,7.3,60.5
"Karojba",1404,34.68,40,305,2673,22131,190.4,1576.3,77.1,638.1,21.7,8.8,8.3,72.6,1404,34.68,40,345,z,z,z,z,z,z,24.6,9.9,z,z,1404,34.68,40,356,3318,28769,236.3,2049.1,95.7,829.6,25.4,10.3,8.7,80.8,1404,34.68,40,353,3218,26058,229.2,1856.0,92.8,751.4,25.1,10.2,8.1,73.8
"Kaštelir - Labinci - Castelliere-S. Domenica",1493,35.21,42,1297,8534,72047,571.6,4825.7,242.4,2046.2,86.9,36.8,8.4,55.5,1493,35.21,42,1330,10799,91238,723.3,6111.1,306.7,2591.3,89.1,37.8,8.4,68.6,1493,35.21,42,1412,10965,89539,734.4,5997.3,311.4,2543.0,94.6,40.1,8.2,63.4,1493,35.21,42,1473,10747,86839,719.8,5816.4,305.2,2466.3,98.7,41.8,8.1,59.0
"Kršan",2829,123.36,22,953,7270,53161,257.0,1879.1,58.9,430.9,33.7,7.7,7.3,55.8,2829,123.36,22,1046,9645,68137,340.9,2408.5,78.2,552.3,37.0,8.5,7.1,65.1,2829,123.36,22,1176,9852,69781,348.3,2466.6,79.9,565.7,41.6,9.5,7.1,59.3,2829,123.36,22,1247,10679,74922,377.5,2648.4,86.6,607.3,44.1,10.1,7.0,60.1
"Labin",10424,72.31,144,10897,164207,961837,1575.3,9227.1,2270.9,13301.6,104.5,150.7,5.9,88.3,10424,72.31,144,11530,227932,1272650,2186.6,12208.8,3152.2,17599.9,110.6,159.5,5.6,110.4,10424,72.31,144,11691,234306,1280552,2247.8,12284.7,3240.3,17709.2,112.2,161.7,5.5,109.5,10424,72.31,144,11503,226407,1227637,2172.0,11777.0,3131.1,16977.4,110.4,159.1,5.4,106.7
"Lanišæe",268,143.73,1,63,659,3114,245.9,1161.9,4.6,21.7,23.5,0.4,4.7,49.4,268,143.73,1,72,z,z,z,z,z,z,26.9,0.5,z,z,268,143.73,1,80,z,z,z,z,z,z,29.9,0.6,z,z,268,143.73,1,80,560,3008,209.0,1122.4,3.9,20.9,29.9,0.6,5.4,37.6
"Ližnjan - Lisignano",4087,68.08,60,3412,26483,214160,648.0,5240.0,389.0,3145.7,83.5,50.1,8.1,62.8,4087,68.08,60,3522,33251,263672,813.6,6451.5,488.4,3873.0,86.2,51.7,7.9,74.9,4087,68.08,60,4197,39985,292462,978.3,7155.9,587.3,4295.9,102.7,61.6,7.3,69.7,4087,68.08,60,4230,55730,374343,1363.6,9159.4,818.6,5498.6,103.5,62.1,6.7,88.5
"Lupoglav",836,91.61,9,165,1455,9061,174.0,1083.9,15.9,98.9,19.7,1.8,6.2,54.9,836,91.61,9,162,1903,10908,227.6,1304.8,20.8,119.1,19.4,1.8,5.7,67.3,836,91.61,9,154,z,z,z,z,z,z,18.4,1.7,z,z,836,91.61,9,172,1695,9008,202.8,1077.5,18.5,98.3,20.6,1.9,5.3,52.4
"Marèana",4250,131.04,32,4760,34033,278100,800.8,6543.5,259.7,2122.3,112.0,36.3,8.2,58.4,4250,131.04,32,4947,38635,320056,909.1,7530.7,294.8,2442.4,116.4,37.8,8.3,64.7,4250,131.04,32,5087,40900,325801,962.4,7665.9,312.1,2486.3,119.7,38.8,8.0,64.0,4250,131.04,32,5201,40068,311671,942.8,7333.4,305.8,2378.4,122.4,39.7,7.8,59.9
"Medulin",6552,34.12,192,34437,331273,2149335,5056.1,32804.3,9709.1,62993.4,525.6,1009.3,6.5,62.4,6552,34.12,192,35141,437367,2741106,6675.3,41836.2,12818.5,80337.2,536.3,1029.9,6.3,78.0,6552,34.12,192,35663,436488,2657651,6661.9,40562.4,12792.7,77891.3,544.3,1045.2,6.1,74.5,6552,34.12,192,35967,434457,2615538,6630.9,39919.7,12733.2,76657.0,548.9,1054.1,6.0,72.7
"Motovun - Montana",912,32.65,27,1417,20602,50332,2259.0,5518.9,631.0,1541.6,155.4,43.4,2.4,35.5,912,32.65,27,1439,23810,56637,2610.7,6210.2,729.2,1734.7,157.8,44.1,2.4,39.4,912,32.65,27,1647,24767,53528,2715.7,5869.3,758.6,1639.4,180.6,50.4,2.2,32.5,912,32.65,27,630,22970,47714,2518.6,5231.8,703.5,1461.4,69.1,19.3,2.1,75.7
"Novigrad - Cittanova",3889,26.58,146,12511,160755,931122,4133.6,23942.5,6048.0,35030.9,321.7,470.7,5.8,74.4,3889,26.58,146,12559,222341,1189322,5717.2,30581.7,8365.0,44745.0,322.9,472.5,5.3,94.7,3889,26.58,146,12643,236455,1209846,6080.1,31109.4,8896.0,45517.2,325.1,475.7,5.1,95.7,3889,26.58,146,12679,240066,1184012,6172.9,30445.2,9031.8,44545.2,326.0,477.0,4.9,93.4
"Oprtalj - Portole",748,61.02,12,702,8397,33056,1122.6,4419.3,137.6,541.7,93.9,11.5,3.9,47.1,748,61.02,12,736,11032,44070,1474.9,5891.7,180.8,722.2,98.4,12.1,4.0,59.9,748,61.02,12,708,8775,36528,1173.1,4883.4,143.8,598.6,94.7,11.6,4.2,51.6,748,61.02,12,682,3702,20940,494.9,2799.5,60.7,343.2,91.2,11.2,5.7,30.7
"Pazin",8279,139.11,59,1028,11470,65462,138.5,790.7,82.5,470.6,12.4,7.4,5.7,63.7,8279,139.11,59,1040,13161,75687,159.0,914.2,94.6,544.1,12.6,7.5,5.8,72.8,8279,139.11,59,1031,13629,75229,164.6,908.7,98.0,540.8,12.5,7.4,5.5,73.0,8279,139.11,59,1041,13652,72633,164.9,877.3,98.1,522.1,12.6,7.5,5.3,69.8
"Piæan",1722,50.78,33,442,3726,29977,216.4,1740.8,73.4,590.3,25.7,8.7,8.0,67.8,1722,50.78,33,458,4332,37352,251.6,2169.1,85.3,735.6,26.6,9.0,8.6,81.6,1722,50.78,33,474,4998,40454,290.2,2349.2,98.4,796.7,27.5,9.3,8.1,85.3,1722,50.78,33,517,4682,37706,271.9,2189.7,92.2,742.5,30.0,10.2,8.1,72.9
"Poreè - Parenzo",16607,111.67,148,27417,415510,2441529,2502.0,14701.8,3720.9,21863.8,165.1,245.5,5.9,89.1,16607,111.67,148,27744,594376,3230901,3579.1,19455.1,5322.6,28932.6,167.1,248.4,5.4,116.5,16607,111.67,148,28081,622103,3247036,3746.0,19552.2,5570.9,29077.1,169.1,251.5,5.2,115.6,16607,111.67,148,28450,625098,3216077,3764.1,19365.8,5597.7,28799.8,171.3,254.8,5.1,113.0
"Pula - Pola",52220,53.82,970,23536,281253,1452648,538.6,2781.8,5225.8,26990.9,45.1,437.3,5.2,61.7,52220,53.82,970,25631,399587,1928156,765.2,3692.4,7424.5,35826.0,49.1,476.2,4.8,75.2,52220,53.82,970,26456,442330,1997014,847.1,3824.2,8218.7,37105.4,50.7,491.6,4.5,75.5,52220,53.82,970,26599,460777,2020931,882.4,3870.0,8561.4,37549.8,50.9,494.2,4.4,76.0
